"","mean"
"1",0.680610236220472
"2",0.0722826086956522
"3",0.00182038834951456
"4",0.00297441998810232
"5",108.830675909879
"6",63.1011555555556
"7",135.586486486486
"8",0.00166527893422148
"9",35.0425361155698
"10",104.639831448215
"11",80.3385226896323
"12",68.6624319419238
"13",61.7914119576562
"14",35.2161807197268
"15",62.6498582724153
"16",30.198167539267
"17",33.1146355036171
"18",56.8513611879458
"19",65.7573425475106
"20",33.8014814814815
"21",7.17749603803487
"22",46.3006614552014
"23",3.80339985218034
"24",0.925373134328358
"25",0.147915027537372
"26",0.140408163265306
"27",3.97518248175182
"28",0.00496277915632754
"29",0.00340909090909091
"30",0.000669344042838019
"31",0.00245499181669394
"32",0.00247933884297521
"33",97.4429906542056
"34",101.107101616628
"35",96.6967650195521
"36",67.1133942161339
"37",44.7254968002695
"38",49.4803386127799
"39",57.8257494646681
"40",47.9428020565553
"41",45.3995894628806
"42",23.174343122102
"43",13.6365938588161
"44",11.9315155358275
"45",11.4678084364098
"46",11.2036802030457
"47",11.3121827411168
"48",10.9679670155408
"49",11.695114213198
"50",11.4177993527508
"51",0.0104297037964122
"52",0.0038265306122449
"53",0.00195567144719687
"54",0.00742574257425743
"55",0.00327868852459016
"56",0.00412541254125413
"57",0.0023696682464455
"58",74.528384279476
"59",108.089668279198
"60",236.543038170298
"61",133.902535657686
"62",111.646886016451
"63",94.6847645429363
"64",139.087971274686
"65",67.050305914344
"66",54.5773924213231
"67",68.6597796143251
"68",71.1590153027279
"69",54.0404984423676
"70",10.2815296989422
"71",0.00244498777506112
"72",0.0113913751017087
"73",0.00417014178482068
"74",0.00407497962510187
"75",0
"76",0.0040290088638195
"77",158.741382522825
"78",145.481103552532
"79",124.97673944093
"80",0
"81",0.00504731861198738
"82",0.00321027287319422
"83",0.00248138957816377
"84",0.00244498777506112
"85",0.00831255195344971
"86",0.00655200655200655
"87",0.0114754098360656
"88",0.00238284352660842
"89",0.00133511348464619
"90",0.0310457516339869
"91",0.000826446280991736
"92",0.00143163922691482
"93",0.00155038759689922
"94",0.00411146642302421
"95",0.000520833333333333
"96",0.00488519785051295
"97",0.00375626043405676
"98",0.000417188151856487
"99",0.00250417362270451
"100",0
"101",0
"102",0.00104275286757039
"103",0.00409416581371546
"104",0.00500834724540901
"105",0.00125156445556946
"106",0.000834376303712975
"107",0.00333889816360601
"108",0.000834376303712975
"109",0.00626043405676127
"110",0.00093764650726676
"111",0.00239808153477218
"112",0.00306882946076282
"113",0.00851869380028396
"114",0.00373134328358209
"115",0.000575043128234618
"116",0.00139372822299652
"117",0.00330578512396694
"118",0.00121285627653123
"119",0.000619962802231866
"120",0.00544323483670296
"121",0.00413907284768212
"122",0.0013840830449827
"123",0.00400641025641026
"124",0.00299850074962519
"125",107.502985074627
"126",61.8558705925118
"127",104.671568627451
"128",0.00375469336670839
"129",42.0315299175923
"130",53.134040136312
"131",41.8171451042076
"132",65.3877272727273
"133",22.6323443862711
"134",39.3052930056711
"135",58.3006106153124
"136",73.7400863761288
"137",43.4140271493213
"138",178.613880126183
"139",31.3275017494752
"140",21.4187096774194
"141",0.89683734939759
"142",0.781876503608661
"143",0.190123456790123
"144",0.156479217603912
"145",0.177379983726607
"146",96.1225969114403
"147",103.654678711437
"148",153.097383469069
"149",108.016939582157
"150",0
"151",0
"152",0
"153",63.2127659574468
"154",127.009775171065
"155",128.129411764706
"156",50.7348484848485
"157",58.7278431372549
"158",44.7196566015394
"159",174.053081147041
"160",75.950937375349
"161",44.324
"162",62.6085245901639
"163",138.816647487534
"164",89.7017513736264
"165",50.3570803430772
"166",36.2593736215262
"167",0.00417827298050139
"168",0.00414250207125104
"169",0
"170",0.000786782061369001
"171",0
"172",0.00489396411092985
"173",116.972829080228
"174",73.2151195108394
"175",86.2167441860465
"176",0.00165562913907285
"177",55.3253856942496
"178",105.502418054809
"179",67.6771276595745
"180",123.218112849692
"181",42.9155995343423
"182",36.9415977961432
"183",69.4124107633169
"184",80.3219010289074
"185",211.299462044232
"186",149.104938271605
