"","date","hour","sessions"
"186",2017-01-08,"17",0
"187",2017-01-08,"18",0
"188",2017-01-08,"19",0
"189",2017-01-08,"20",0
"190",2017-01-08,"21",0
"191",2017-01-08,"22",0
"192",2017-01-08,"23",0
"193",2017-01-09,"00",0
"194",2017-01-09,"01",0
"195",2017-01-09,"02",0
"196",2017-01-09,"03",0
"197",2017-01-09,"04",0
"198",2017-01-09,"05",0
"199",2017-01-09,"06",0
"200",2017-01-09,"07",0
"201",2017-01-09,"08",0
"202",2017-01-09,"09",0
"203",2017-01-09,"10",0
"204",2017-01-09,"11",0
"205",2017-01-09,"12",0
"206",2017-01-09,"13",0
"207",2017-01-09,"14",0
"208",2017-01-09,"15",0
"209",2017-01-09,"16",0
"210",2017-01-09,"17",0
"211",2017-01-09,"18",0
"212",2017-01-09,"19",0
"213",2017-01-09,"20",0
"214",2017-01-09,"21",0
"215",2017-01-09,"22",0
"216",2017-01-09,"23",0
"217",2017-01-10,"00",0
"218",2017-01-10,"01",0
"219",2017-01-10,"02",0
"220",2017-01-10,"03",0
"221",2017-01-10,"04",0
"222",2017-01-10,"05",0
"223",2017-01-10,"06",0
"224",2017-01-10,"07",0
"225",2017-01-10,"08",0
"226",2017-01-10,"09",0
"227",2017-01-10,"10",0
"228",2017-01-10,"11",0
"229",2017-01-10,"12",0
"230",2017-01-10,"13",0
"231",2017-01-10,"14",0
"232",2017-01-10,"15",0
"233",2017-01-10,"16",0
"234",2017-01-10,"17",0
"235",2017-01-10,"18",0
"236",2017-01-10,"19",0
"237",2017-01-10,"20",0
"238",2017-01-10,"21",0
"239",2017-01-10,"22",0
"240",2017-01-10,"23",0
"241",2017-01-11,"00",0
"242",2017-01-11,"01",0
"243",2017-01-11,"02",0
"244",2017-01-11,"03",0
"245",2017-01-11,"04",0
"246",2017-01-11,"05",0
"247",2017-01-11,"06",0
"248",2017-01-11,"07",0
"249",2017-01-11,"08",0
"250",2017-01-11,"09",0
"251",2017-01-11,"10",0
"252",2017-01-11,"11",0
"253",2017-01-11,"12",0
"254",2017-01-11,"13",0
"255",2017-01-11,"14",0
"256",2017-01-11,"15",0
"257",2017-01-11,"16",0
"258",2017-01-11,"17",0
"259",2017-01-11,"18",0
"260",2017-01-11,"19",0
"261",2017-01-11,"20",0
"262",2017-01-11,"21",0
"263",2017-01-11,"22",0
"264",2017-01-11,"23",0
"265",2017-01-12,"00",0
"266",2017-01-12,"01",0
"267",2017-01-12,"02",0
"268",2017-01-12,"03",0
"269",2017-01-12,"04",0
"270",2017-01-12,"05",0
"271",2017-01-12,"06",0
"272",2017-01-12,"07",0
"273",2017-01-12,"08",0
"274",2017-01-12,"09",0
"275",2017-01-12,"10",0
"276",2017-01-12,"11",0
"277",2017-01-12,"12",0
"278",2017-01-12,"13",0
"279",2017-01-12,"14",0
"280",2017-01-12,"15",0
"281",2017-01-12,"16",0
"282",2017-01-12,"17",0
"283",2017-01-12,"18",0
"284",2017-01-12,"19",0
"285",2017-01-12,"20",0
"286",2017-01-12,"21",0
"287",2017-01-12,"22",0
"288",2017-01-12,"23",0
"289",2017-01-13,"00",0
"290",2017-01-13,"01",0
"291",2017-01-13,"02",0
"292",2017-01-13,"03",0
"293",2017-01-13,"04",0
"294",2017-01-13,"05",0
"295",2017-01-13,"06",0
"296",2017-01-13,"07",0
"297",2017-01-13,"08",0
"298",2017-01-13,"09",0
"299",2017-01-13,"10",0
"300",2017-01-13,"11",0
"301",2017-01-13,"12",0
"302",2017-01-13,"13",0
"303",2017-01-13,"14",0
"304",2017-01-13,"15",0
"305",2017-01-13,"16",0
"306",2017-01-13,"17",0
"307",2017-01-13,"18",0
"308",2017-01-13,"19",0
"309",2017-01-13,"20",0
"310",2017-01-13,"21",0
"311",2017-01-13,"22",0
"312",2017-01-13,"23",0
"313",2017-01-14,"00",0
"314",2017-01-14,"01",0
"315",2017-01-14,"02",0
"316",2017-01-14,"03",0
"317",2017-01-14,"04",0
"318",2017-01-14,"05",0
"319",2017-01-14,"06",0
"320",2017-01-14,"07",0
"321",2017-01-14,"08",0
"322",2017-01-14,"09",0
"323",2017-01-14,"10",0
"324",2017-01-14,"11",0
"325",2017-01-14,"12",0
"326",2017-01-14,"13",0
"327",2017-01-14,"14",0
"328",2017-01-14,"15",0
"329",2017-01-14,"16",0
"330",2017-01-14,"17",0
"331",2017-01-14,"18",0
"332",2017-01-14,"19",0
"333",2017-01-14,"20",0
"334",2017-01-14,"21",0
"335",2017-01-14,"22",0
"336",2017-01-14,"23",0
"337",2017-01-15,"00",0
"338",2017-01-15,"01",0
"339",2017-01-15,"02",0
"340",2017-01-15,"03",0
"341",2017-01-15,"04",0
"342",2017-01-15,"05",0
"343",2017-01-15,"06",0
"344",2017-01-15,"07",0
"345",2017-01-15,"08",0
"346",2017-01-15,"09",0
"347",2017-01-15,"10",0
"348",2017-01-15,"11",0
"349",2017-01-15,"12",0
"350",2017-01-15,"13",0
"351",2017-01-15,"14",0
"352",2017-01-15,"15",0
"353",2017-01-15,"16",0
"354",2017-01-15,"17",0
"355",2017-01-15,"18",0
"356",2017-01-15,"19",0
"357",2017-01-15,"20",0
"358",2017-01-15,"21",0
"359",2017-01-15,"22",0
"360",2017-01-15,"23",0
"361",2017-01-16,"00",0
"362",2017-01-16,"01",0
"363",2017-01-16,"02",0
"364",2017-01-16,"03",0
"365",2017-01-16,"04",0
"366",2017-01-16,"05",0
"367",2017-01-16,"06",0
"368",2017-01-16,"07",0
"369",2017-01-16,"08",0
"370",2017-01-16,"09",0
"371",2017-01-16,"10",0
"372",2017-01-16,"11",0
"373",2017-01-16,"12",0
"374",2017-01-16,"13",0
"375",2017-01-16,"14",0
"376",2017-01-16,"15",0
"377",2017-01-16,"16",0
"378",2017-01-16,"17",0
"379",2017-01-16,"18",0
"380",2017-01-16,"19",0
"381",2017-01-16,"20",0
"382",2017-01-16,"21",0
"383",2017-01-16,"22",0
"384",2017-01-16,"23",0
"385",2017-01-17,"00",0
"386",2017-01-17,"01",0
"387",2017-01-17,"02",0
"388",2017-01-17,"03",0
"389",2017-01-17,"04",0
"390",2017-01-17,"05",0
"391",2017-01-17,"06",0
"392",2017-01-17,"07",0
"393",2017-01-17,"08",0
"394",2017-01-17,"09",0
"395",2017-01-17,"10",0
"396",2017-01-17,"11",0
"397",2017-01-17,"12",0
"398",2017-01-17,"13",0
"399",2017-01-17,"14",0
"400",2017-01-17,"15",0
"401",2017-01-17,"16",0
"402",2017-01-17,"17",0
"403",2017-01-17,"18",0
"404",2017-01-17,"19",0
"405",2017-01-17,"20",0
"406",2017-01-17,"21",0
"407",2017-01-17,"22",0
"408",2017-01-17,"23",0
"409",2017-01-18,"00",0
"410",2017-01-18,"01",0
"411",2017-01-18,"02",0
"412",2017-01-18,"03",0
"413",2017-01-18,"04",0
"414",2017-01-18,"05",0
"415",2017-01-18,"06",0
"416",2017-01-18,"07",0
"417",2017-01-18,"08",0
"418",2017-01-18,"09",0
"419",2017-01-18,"10",0
"420",2017-01-18,"11",0
"421",2017-01-18,"12",0
"422",2017-01-18,"13",0
"423",2017-01-18,"14",0
"424",2017-01-18,"15",0
"425",2017-01-18,"16",0
"426",2017-01-18,"17",0
"427",2017-01-18,"18",0
"428",2017-01-18,"19",0
"429",2017-01-18,"20",0
"430",2017-01-18,"21",0
"431",2017-01-18,"22",0
"432",2017-01-18,"23",0
"433",2017-01-19,"00",0
"434",2017-01-19,"01",0
"435",2017-01-19,"02",0
"436",2017-01-19,"03",0
"437",2017-01-19,"04",0
"438",2017-01-19,"05",0
"439",2017-01-19,"06",0
"440",2017-01-19,"07",0
"441",2017-01-19,"08",0
"442",2017-01-19,"09",0
"443",2017-01-19,"10",0
"444",2017-01-19,"11",0
"445",2017-01-19,"12",0
"446",2017-01-19,"13",0
"447",2017-01-19,"14",0
"448",2017-01-19,"15",0
"449",2017-01-19,"16",0
"450",2017-01-19,"17",0
"451",2017-01-19,"18",0
"452",2017-01-19,"19",0
"453",2017-01-19,"20",0
"454",2017-01-19,"21",0
"455",2017-01-19,"22",0
"456",2017-01-19,"23",0
"457",2017-01-20,"00",0
"458",2017-01-20,"01",0
"459",2017-01-20,"02",0
"460",2017-01-20,"03",0
"461",2017-01-20,"04",0
"462",2017-01-20,"05",0
"463",2017-01-20,"06",0
"464",2017-01-20,"07",0
"465",2017-01-20,"08",0
"466",2017-01-20,"09",0
"467",2017-01-20,"10",0
"468",2017-01-20,"11",0
"469",2017-01-20,"12",0
"470",2017-01-20,"13",0
"471",2017-01-20,"14",0
"472",2017-01-20,"15",0
"473",2017-01-20,"16",0
"474",2017-01-20,"17",0
"475",2017-01-20,"18",0
"476",2017-01-20,"19",0
"477",2017-01-20,"20",0
"478",2017-01-20,"21",0
"479",2017-01-20,"22",0
"480",2017-01-20,"23",0
"481",2017-01-21,"00",0
"482",2017-01-21,"01",0
"483",2017-01-21,"02",0
"484",2017-01-21,"03",0
"485",2017-01-21,"04",0
"486",2017-01-21,"05",0
"487",2017-01-21,"06",0
"488",2017-01-21,"07",0
"489",2017-01-21,"08",0
"490",2017-01-21,"09",0
"491",2017-01-21,"10",0
"492",2017-01-21,"11",0
"493",2017-01-21,"12",0
"494",2017-01-21,"13",0
"495",2017-01-21,"14",0
"496",2017-01-21,"15",0
"497",2017-01-21,"16",0
"498",2017-01-21,"17",0
"499",2017-01-21,"18",0
"500",2017-01-21,"19",0
"501",2017-01-21,"20",0
"502",2017-01-21,"21",0
"503",2017-01-21,"22",0
"504",2017-01-21,"23",0
"505",2017-01-22,"00",0
"506",2017-01-22,"01",0
"507",2017-01-22,"02",0
"508",2017-01-22,"03",0
"509",2017-01-22,"04",0
"510",2017-01-22,"05",0
"511",2017-01-22,"06",0
"512",2017-01-22,"07",0
"513",2017-01-22,"08",0
"514",2017-01-22,"09",0
"515",2017-01-22,"10",0
"516",2017-01-22,"11",0
"517",2017-01-22,"12",0
"518",2017-01-22,"13",0
"519",2017-01-22,"14",0
"520",2017-01-22,"15",0
"521",2017-01-22,"16",0
"522",2017-01-22,"17",0
"523",2017-01-22,"18",0
"524",2017-01-22,"19",0
"525",2017-01-22,"20",0
"526",2017-01-22,"21",0
"527",2017-01-22,"22",0
"528",2017-01-22,"23",0
"529",2017-01-23,"00",0
"530",2017-01-23,"01",0
"531",2017-01-23,"02",0
"532",2017-01-23,"03",0
"533",2017-01-23,"04",0
"534",2017-01-23,"05",0
"535",2017-01-23,"06",0
"536",2017-01-23,"07",0
"537",2017-01-23,"08",0
"538",2017-01-23,"09",0
"539",2017-01-23,"10",0
"540",2017-01-23,"11",0
"541",2017-01-23,"12",0
"542",2017-01-23,"13",0
"543",2017-01-23,"14",0
"544",2017-01-23,"15",0
"545",2017-01-23,"16",0
"546",2017-01-23,"17",0
"547",2017-01-23,"18",0
"548",2017-01-23,"19",0
"549",2017-01-23,"20",0
"550",2017-01-23,"21",0
"551",2017-01-23,"22",0
"552",2017-01-23,"23",0
"553",2017-01-24,"00",0
"554",2017-01-24,"01",0
"555",2017-01-24,"02",0
"556",2017-01-24,"03",0
"557",2017-01-24,"04",0
"558",2017-01-24,"05",0
"559",2017-01-24,"06",0
"560",2017-01-24,"07",0
"561",2017-01-24,"08",0
"562",2017-01-24,"09",0
"563",2017-01-24,"10",0
"564",2017-01-24,"11",0
"565",2017-01-24,"12",0
"566",2017-01-24,"13",0
"567",2017-01-24,"14",0
"568",2017-01-24,"15",0
"569",2017-01-24,"16",0
"570",2017-01-24,"17",0
"571",2017-01-24,"18",0
"572",2017-01-24,"19",0
"573",2017-01-24,"20",0
"574",2017-01-24,"21",0
"575",2017-01-24,"22",0
"576",2017-01-24,"23",0
"577",2017-01-25,"00",0
"578",2017-01-25,"01",0
"579",2017-01-25,"02",0
"580",2017-01-25,"03",0
"581",2017-01-25,"04",0
"582",2017-01-25,"05",0
"583",2017-01-25,"06",0
"584",2017-01-25,"07",0
"585",2017-01-25,"08",0
"586",2017-01-25,"09",0
"587",2017-01-25,"10",0
"588",2017-01-25,"11",0
"589",2017-01-25,"12",0
